Filer_ID,Filer_NamL,Report_Num,Committee_Type,Rpt_Date,From_Date,Thru_Date,Elect_Date,tblCover_Office_Cd,tblCover_Offic_Dscr,Rec_Type,Form_Type,Tran_ID,Entity_Cd,Payee_NamL,Payee_NamF,Payee_NamT,Payee_NamS,Payee_Adr1,Payee_Adr2,Payee_City,Payee_State,Payee_Zip4,Beg_Bal,Amt_Incur,Amt_Paid,End_Bal,Expn_Code,Expn_Dscr,Cmte_ID,Tres_NamL,Tres_NamF,Tres_NamT,Tres_NamS,Tres_Adr1,Tres_Adr2,Tres_City,Tres_ST,Tres_ZIP4,Memo_Code,Memo_RefNo,BakRef_TID,XRef_SchNm,XRef_Match
1307016,Oakland Jobs PAC,000,RCP,01/18/2014,07/01/2013,12/31/2013,,,,DEBT,F,PAY355,OTH,"The McConnell Group, Inc.",,,,,,Danville,CA,94506,4500.00,0.00,0.00,4500.00,CNS,,,,,,,,,,,,,,,,
1307016,Oakland Jobs PAC,000,RCP,01/18/2014,07/01/2013,12/31/2013,,,,DEBT,F,PAY356,OTH,"The McConnell Group, Inc.",,,,,,Danville,CA,94506,4500.00,0.00,0.00,4500.00,CNS,,,,,,,,,,,,,,,,
1307016,Oakland Jobs PAC,000,RCP,01/18/2014,07/01/2013,12/31/2013,,,,DEBT,F,PAY455,OTH,The Henry Levy Group,,,,,,Oakland,CA,94618,1315.80,0.00,1315.80,0.00,PRO,,,,,,,,,,,,,,,,
1357609,Parker for Oakland Mayor 2014,000,CTL,01/31/2014,07/01/2013,12/31/2013,11/04/2014,,,DEBT,F,PAY379,OTH,RockBridge Productions,,,,,,San Francisco,CA,94124,1500.00,0.00,1500.00,0.00,TEL,,,,,,,,,,,,,,,,
1357609,Parker for Oakland Mayor 2014,000,CTL,01/31/2014,07/01/2013,12/31/2013,11/04/2014,,,DEBT,F,PAY11,OTH,The Henry Levy Group,,,,,,Oakland,CA,94618,1587.50,0.00,1587.50,0.00,PRO,,,,,,,,,,,,,,,,
1357609,Parker for Oakland Mayor 2014,000,CTL,01/31/2014,07/01/2013,12/31/2013,11/04/2014,,,DEBT,F,PAY390,OTH,Sutton Law Firm,,,,,,San Francisco,CA,94108,2270.83,0.00,2270.83,0.00,PRO,,,,,,,,,,,,,,,,
1357609,Parker for Oakland Mayor 2014,000,CTL,01/31/2014,07/01/2013,12/31/2013,11/04/2014,,,DEBT,F,PAY89,OTH,The Henry Levy Group,,,,,,Oakland,CA,94618,977.15,0.00,977.15,0.00,PRO,,,,,,,,,,,,,,,,
1357609,Parker for Oakland Mayor 2014,000,CTL,01/31/2014,07/01/2013,12/31/2013,11/04/2014,,,DEBT,F,PAY385,OTH,"The Run Group, LLC",,,,,,San Francisco,CA,94162,200.00,0.00,200.00,0.00,CMP,,,,,,,,,,,,,,,,
1357609,Parker for Oakland Mayor 2014,000,CTL,01/31/2014,07/01/2013,12/31/2013,11/04/2014,,,DEBT,F,PAY391,OTH,Sutton Law Firm,,,,,,San Francisco,CA,94108,722.86,0.00,722.86,0.00,PRO,,,,,,,,,,,,,,,,
1357609,Parker for Oakland Mayor 2014,000,CTL,01/31/2014,07/01/2013,12/31/2013,11/04/2014,,,DEBT,F,PAY407,OTH,Sutton Law Firm,,,,,,San Francisco,CA,94108,0.00,1976.46,0.00,1976.46,PRO,,,,,,,,,,,,,,,,
